title,author,price,stock,pages,binding,category,subcategory
LETTERING. CALIGRAFÍA Y ROTULACIÓN,"SUSAETA, EQUIPO","5,65 €",Última unidad,96,Bolsillo,Arte y Manualidades,Manualidades
MY HERO ACADEMIA Nº 26.,"HORIKOSHI, KOHEI","7,55 €",Última unidad,200,,Cómics y Novela Gráfica,Comics
ONCE AND FUTURE Nº 01.. EL REY YA NO ESTÁ MUERTO,"GILLEN, KIERON","16,10 €",Última unidad,168,,Cómics y Novela Gráfica,Comics
LAS  MONTAÑAS DE LA LOCURA- LOVECRAFT Nº 01/02. ADAPTACIÓN DE GOU TANA,"TANABE, GO","19,00 €",Última unidad,288,,Cómics y Novela Gráfica,Comics
DIEZ MIL ELEFANTES,"ORTIN, PERE; ESONO EBALE, NZE","23,66 €",En stock,144,,Cómics y Novela Gráfica,Comics
LOS SIMBOLOS EN EL ARTE,"WILSON, MATTHEW","17,10 €",Última unidad,176,,Arte y Manualidades,Arte
EMOCIONARTE.  LA DOBLE VIDA DE LOS CUADROS,"DEL AMOR, CARLOS","18,91 €",En stock,232,,Arte y Manualidades,Arte
LOS HUESOS CANTORES,"TAN, SHAUN","22,80 €",Última unidad,192,,Arte y Manualidades,Arte
MARAVILLAS DE LA ARQUITECTURA,VARIOS AUTORES,"28,41 €",En stock,336,,Arte y Manualidades,Arte
VIDA.,"CELLINI, BENVENUTO","16,63 €",Última unidad,624,,Arte y Manualidades,Arte
GOYA. A LA SOMBRA DE LAS LUCES,"TODOROV, TZVETAN","17,01 €",En stock,256,Rústica,Arte y Manualidades,Arte
ARAGON. RUTAS PARA DESCUBRIR ARAGON. LOS MEJORES ITINERARIOS EN COCHE,"BASTART I CASSÉ, JORDI","20,05 €",Última unidad,344,,Aragón,Aragon
CURSO DE OREGONES PARA FORANOS VOLUMEN 2,"VIDEGAIN, JOSE","14,25 €",Última unidad,260,,Aragón,Aragon
EL ARAGONÉS MEDIEVAL. LENGUA Y ESTADO EN EL REINO DE ARAGÓN,"TOMAS FACI, GUILLERMO","22,80 €",Última unidad,346,Bolsillo,Aragón,Aragon
LO INFINITO EN UN CHUNCO. LA INVENCIÓN D’ES LIBROS EN O MUNDO ANTIGO,"VALLEJO, IRENE","23,70 €",En stock,448,Bolsillo,Aragón,Aragon
DE DONDE NUNCA VUELVES,"CARRANZA HUERA, ALBERTO","17,05 €",En stock,398,,Aragón,Aragon
ZARAGOZA ANTIGUA,"TRALLERO, SALVADOR","33,25 €",En stock,168,,Aragón,Aragon
GUERRA Y CUCHILLO. LOS SITIOS DE ZARAGOZA. 1808-1809,"AQUILLUÉ, DANIEL","21,76 €",En stock,420,,Aragón,Aragon
CONSULTE A SU FARMACÉUTICO,FARMACIA ENFURECIDA,"15,11 €",En stock,200,Bolsillo,Cómics y Novela Gráfica,Humor
MAESTRA DE PUEBLO. LA ESCUELA VACIADA,MAESTRA DE PUEBLO; CRISTINA PICAZO,"17,01 €",En stock,112,Bolsillo,Cómics y Novela Gráfica,Humor
LOS 27 MANDAMIENTOS DE EL CHICO FITNESS,EL CHICO FITNESS,"13,21 €",Última unidad,192,Bolsillo,Cómics y Novela Gráfica,Humor
ESTUCHE CONSTELACIÓN VIDA,"BENAVENTE, LUCÍA","54,95 €",Última unidad,480,Bolsillo,Cómics y Novela Gráfica,Humor
MEJOR NO BROMEAR CON ESTO. LOS MOMENTOS MÁS POLÉMICOS DE EMT,EL MUNDO TODAY,"19,86 €",En stock,384,Bolsillo,Cómics y Novela Gráfica,Humor
MEDITACIONES,"FARRAY, IGNATIUS","13,21 €",En stock,144,Bolsillo,Cómics y Novela Gráfica,Humor
LA VIDA ES SUERO (EDICIÓN ESPECIAL),ENFERMERA SATURADA,"16,06 €",Última unidad,144,,Cómics y Novela Gráfica,Humor
ASTROLOGÍA PARA COLOREAR. LIBROS PARA COLOREAR PARA ADULTOS,ANA JARÉN,"12,26 €",Última unidad,96,Bolsillo,Arte y Manualidades,Dibujo y pintura
ENHORABUENA POR TU FRACASO,ARTURO GONZÁLEZ-CAMPOS,"17,96 €",En stock,224,,Cómics y Novela Gráfica,Humor
CÓMO PINTAR AGUA A LA ACUARELA,"FRANCIS DOWDEN, JOE","10,93 €",Última unidad,48,Bolsillo,Arte y Manualidades,Dibujo y pintura
